feature,family,coef,abs_coef,direction,mean_abs_shap,mean_signed_shap,mean_coef_cv,std_coef_cv,sign_consistency_cv
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,Pitch (F0),-0.29423789272771195,0.29423789272771195,HC,0.23168950238027972,7.604267291953127e-19,-0.21621475811379742,0.018851535053128317,1.0
shimmerLocaldB_sma3nz_stddevNorm,Shimmer,-0.27748118399309896,0.27748118399309896,HC,0.22271479410829392,8.744907385746096e-18,-0.19505170196585103,0.05973769534949327,1.0
F1frequency_sma3nz_amean,Formants,0.2741691355356164,0.2741691355356164,PD,0.21957823808461244,7.604267291953127e-19,0.19293338357765652,0.053851197576125255,1.0
F3bandwidth_sma3nz_amean,Formants,-0.2683257955697323,0.2683257955697323,HC,0.19268295724353143,-3.421920281378907e-18,-0.22427640785806652,0.06527833510536164,1.0
StddevVoicedSegmentLengthSec,Temporal/Rhythm,0.24296276027072883,0.24296276027072883,PD,0.19366064243465697,2.281280187585938e-18,0.14969167577184392,0.07149687273064519,1.0
slopeV0-500_sma3nz_amean,Spectral Balance,-0.23493728803837396,0.23493728803837396,HC,0.16080027558714055,-5.5487387895970476e-18,-0.2187578506585121,0.04457770428160422,1.0
mfcc4_sma3_amean,MFCC (Cepstral),0.2345006724414384,0.2345006724414384,PD,0.1823655318733158,4.562560375171876e-18,0.22087638072578306,0.03902673268708812,1.0
mfcc3V_sma3nz_stddevNorm,MFCC (Cepstral),-0.229064564087661,0.229064564087661,HC,0.0719297706764121,3.3743936108042e-18,-0.17474413392447768,0.06081221571243201,1.0
mfcc4V_sma3nz_amean,MFCC (Cepstral),0.22546776795013582,0.22546776795013582,PD,0.18358019416057036,-1.188166764367676e-18,0.22034574409684068,0.034250330358101766,1.0
slopeV0-500_sma3nz_stddevNorm,Spectral Balance,0.2223733770332205,0.2223733770332205,PD,0.14780915581154716,1.9010668229882816e-19,0.19090988114493482,0.03861502753779705,1.0
equivalentSoundLevel_dBp,Loudness/Energy,0.211095769464638,0.211095769464638,PD,0.1692991749177768,-1.188166764367676e-18,0.15677124226027433,0.03343183672474298,1.0
mfcc1_sma3_amean,MFCC (Cepstral),0.20854043903548378,0.20854043903548378,PD,0.1753518775688057,-5.703200468964845e-19,0.10529609072413573,0.051901562401199856,1.0
